"Rep","Cov_sp_near","Cov_sp_med","Cov_sp_far","Cov_sp_all","Width_sp_near","Width_sp_med","Width_sp_far","Width_sp_all","Cov_unw_near","Cov_unw_med","Cov_unw_far","Cov_unw_all","Width_unw_all","Cov_kr_near","Cov_kr_med","Cov_kr_far","Cov_kr_all","Width_kr_all"
1,0.907742998352554,0.887404580152672,0.873949579831933,0.896,0.152972392258348,0.152893708236818,0.152888993665091,0.152931468370445,0.906095551894563,0.88263358778626,0.882352941176471,0.894,0.133352734562294,0.983525535420099,0.985687022900763,0.974789915966387,0.9836,0.134993587629888
2,0.903624382207578,0.896946564885496,0.886554621848739,0.8992,0.159469540838791,0.15980351952918,0.159693760431904,0.159630890411067,0.940691927512356,0.919847328244275,0.915966386554622,0.9296,0.165408012196296,0.982701812191104,0.987595419847328,0.978991596638655,0.9844,0.142471596690331
3,0.942339373970346,0.927480916030534,0.915966386554622,0.9336,0.171056488059227,0.171041081888713,0.171473497978874,0.171089729136898,0.945634266886326,0.946564885496183,0.932773109243697,0.9448,0.165038045140401,0.983525535420099,0.987595419847328,0.991596638655462,0.986,0.144835216173881
4,0.93163097199341,0.920801526717557,0.890756302521008,0.9232,0.162943631099404,0.162998681162635,0.162709624744354,0.162944430680909,0.960461285008237,0.947519083969466,0.953781512605042,0.9544,0.173608869376255,0.968698517298188,0.967557251908397,0.974789915966387,0.9688,0.128347690442422
5,0.946457990115321,0.923664122137405,0.928571428571429,0.9352,0.177673543970854,0.177728723945279,0.177752272324118,0.177704170355364,0.937397034596376,0.903625954198473,0.865546218487395,0.9164,0.136804817602751,0.977759472817133,0.965648854961832,0.96218487394958,0.9712,0.13922914685585
6,0.919275123558484,0.919847328244275,0.911764705882353,0.9188,0.153325853461755,0.153450536929628,0.153445760257018,0.153389535898397,0.948929159802306,0.949427480916031,0.953781512605042,0.9496,0.164329934869241,0.982701812191104,0.981870229007634,0.978991596638655,0.982,0.133534176983312
7,0.948105436573311,0.924618320610687,0.928571428571429,0.9364,0.153786978287953,0.153702092562749,0.153639623760959,0.153737366040978,0.937397034596376,0.929389312977099,0.899159663865546,0.9304,0.139999329458098,0.953047775947282,0.956106870229008,0.945378151260504,0.9536,0.115557175622627
8,0.915980230642504,0.924618320610687,0.869747899159664,0.9152,0.150648135327261,0.150528604518089,0.15041782968486,0.150576102914899,0.922570016474465,0.924618320610687,0.928571428571429,0.924,0.145194389515407,0.980230642504119,0.986641221374046,0.987394957983193,0.9836,0.134034581528728
9,0.911037891268534,0.886450381679389,0.928571428571429,0.9024,0.152844357319171,0.152889485819655,0.153070598593064,0.152884813355848,0.924217462932455,0.903625954198473,0.903361344537815,0.9136,0.148670576613315,0.977759472817133,0.974236641221374,0.974789915966387,0.976,0.139125921198694
10,0.935749588138385,0.930343511450382,0.932773109243697,0.9332,0.158042741076191,0.157917784561915,0.157782385977078,0.157965573499971,0.93163097199341,0.940839694656489,0.890756302521008,0.9316,0.145552460699481,0.982701812191104,0.982824427480916,0.978991596638655,0.9824,0.137850238650474
